Clone,Col,Row,border position,Blk,Plot,DBH15a,DBH15b,DBH15c,DBH15d,DBH15e,DBH14a,DBH14b,DBH14c,DBH14d,DBH14e,Ht14a(ft),Ht14b(ft),Ht14c(ft),Ht14d(ft),Ht14e(ft),DBH13a,DBH13b,DBH13c,DBH13d,DBH13e,DBH12a,DBH12b,DBH12c,DBH12d,DBH12e,Ht12a(ft),Ht12b(ft),Ht12c(ft),Ht12d(ft),Ht12e(ft),DBH11a,DBH11b,DBH11c,DBH11d,DBH11e,DBH10a,DBH10b,DBH10c,DBH10d,DBH10e,DBH09a,DBH09b,DBH09c,DBH09d,DBH09e,DBH09f,DBH08a,DBH08b,DBH08c,DBH08d,DBH08e,DBH08f,Ht08(ft),DBH07a,DBH07b,DBH07c,DBH07d,DBH07e,Canker14,Canker13,Notes2014,"Canker Scoring: _1-clean_2-few on branches, small stem, healing ",Notes11,Notes10,Notes,LeafSpot08yr4,LeafRust08yr4,Canker08yr4
17XGA04,1,1,1,1,1,7.4,,,,,6.8,,,,,39,,,,,5.6,,,,,5,,,,,32.6,,,,,,,,,,2.8,,,,,2.7,,,,,,2.3,,,,,,16.5,1.6,,,,,1,0,,,,,,,1,
17XGA04,1,2,1,1,1,4.3,,,,,4,,,,,34,,,,,3.2,,,,,2.7,,,,,27.2,,,,,,,,,,2.0,,,,,1.7,,,,,,1.3,,,,,,13.5,0.7,,,,,1,0,,,,,,,1,
17XGA04,1,3,1,1,1,7.6,7.1,,,,6.4,6.6,,,,46,41,,,,5.5,5.8,,,,5.4,4.7,,,,39.3,38.3,,,,,,,,,3.3,3.2,,,,2.7,2.5,,,,,2.3,1.8,,,,,19.5,1.3,1.1,,,,1,0,,,,,,,1,
17XGA04,1,4,1,1,1,5,,,,,4.4,,,,,39,,,,,3.8,1.1,,,,3.2,1,,,,35.3,,,,,,,,,,2.6,0.8,,,,2.0,0.8,,,,,1.6,0.7,,,,,14.0,1.2,0.5,,,,1,0,,,,,,,0,
82XAA04,1,5,1,1,2,6.6,,,,,6.9,,,,,42,,,,,5.8,,,,,5.4,,,,,39.5,,,,,,,,,,3.7,,,,,3.0,,,,,,2.5,,,,,,20.0,1.6,,,,,1,0,,,,,,,1,
82XAA04,1,6,1,1,2,6.4,,,,,5.8,,,,,44,,,,,5,,,,,4.2,,,,,36,,,,,,,,,,3.0,,,,,2.4,,,,,,1.8,,,,,,16.5,1.0,,,,,1,0,,,,,,,1,
82XAA04,1,7,1,1,2,8.7,6,3,,,7.8,5.8,2.8,,,48,48,,,,6.9,4.5,2.7,,,5.8,4,2.5,,,38.8,37,,,,,,,,,4.7,2.6,2.3,,,3.2,2.4,2.1,,,,2.6,1.7,1.8,,,,22.0,1.6,1.3,1.2,,,2,0,,,,,,,1,
82XAA04,1,8,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,1.3,,,,,,1.3,,,,,,13.5,1.6,,,,,,0,,Died 2011,,,,,2,
2XT4E04,1,9,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,dead sprout,,,
2XT4E04,1,10,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead sprout,,,
