Od,C,R,YrDied,Stems15,"DBH15-1
(in)","DBH15-2
(in)","DBH14-3
(in)","DBH15-4
(in)","DBH15-5
(in)","Root Collar Weevil
(1=none,2=moderate,3=severe)",Plus Tree,Stems14,"DBH14-1
(in)","DBH14-2
(in)","DBH14-3
(in)2","DBH14-4
(in)","DBH14-5
(in)","Ht14-1
(ft)","Ht14-2
(ft)","Ht14-3
(ft)","Ht14-4
(ft)","Ht14-1
(ft)3","Ht14-2
(ft)4","Ht14-3
(ft)5","Ht14-4
(ft)6",Notes2014,Stems13,"DBH13-1
(in)","DBH13-2
(in)","DBH13-3
(in)","DBH13-4
(in)","DBH13-5
(in)","Ht13-1
(ft)","Ht13-2
(ft)","Ht13-3
(ft)","Ht13-4
(ft)","DBH12-1
(in)","DBH12-2
(in)","DBH12-3
(in)","Ht12-1
(ft)","Ht12-2
(ft)","Ht12-3
(ft)",Notes 2012 & 2013,"DBH11-1
(in.)","DBH11-2
(in.)","DBH11-3
(in.)","Ht11-1
(cm)","Ht11-2
(cm)","Ht11-3
(cm)","Ht10
(cm)",Stems09,"Ht09
(cm)",Notes  2009-2011
1,1,1,,1,2.4,,,,,1,0,1,1.6,,,,,,,,,17.0,,,,,1,1.5,,,,,13.0,,,,0.8,,,10.5,,,,0.3,,,210,,,72,1,32,
2,1,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
3,1,3,,1,6.0,,,,,1,0,1,5.6,,,,,,,,,27,,,,,1,3.3,,,,,23.5,,,,2.5,,,18,,,,1.6,,,450,,,264,1,67,
4,1,4,,1,3.7,,,,,1,0,1,3.2,,,,,,,,,25.0,,,,,1,2.3,,,,,22.0,,,,1.5,,,17,,,,1,,,365,,,196,1,45,canker/insect damage
5,1,5,,1,4.6,,,,,2,0,1,4.2,,,,,,,,,23.0,,,,,1,3.3,,,,,21.0,,,,2.4,,,16.5,,,,1.5,,,400,,,225,1,36,
6,1,6,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
7,1,7,,1,6.2,,,,,2,0,1,5.2,,,,,,,,,31.0,,,,,1,3.9,,,,,26.0,,,,3,,,21.5,,,,2,,,480,,,302,1,64,28-cuttings 2011
8,1,8,,1,5.1,,,,,1,0,1,4.4,,,,,,,,,26.0,,,,,1,3.1,,,,,23.0,,,,2.2,,,18,,,,1.3,,,380,,,197,1,73,
9,1,9,,2,4.4,3.7,,,,1,0,2,3.5,2.7,,,,,,,,25.0,24.0,,,,2,2.8,2,,,,22.0,21.0,,,1.9,1.2,,16,,,,1.6,0.6,,350,300,,178,2,57,
10,2,1,,1,5.4,,,,,1,0,1,4.2,,,,,,,,,26.0,,,,,1,2.9,,,,,22.0,,,,2.1,,,19,,,,1.1,,,330,,,174,1,54,
11,2,2,,1,6.1,,,,,1,0,1,4.4,,,,,,,,,30.0,,,,,1,3.3,,,,,26.0,,,,2.4,,,17,,,,1.4,,,390,,,197,2,86,
12,2,3,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
13,2,4,,2,4.4,3.5,,,,1,0,2,3.9,3,,,,,,,,22.0,22.0,,,,2,2.8,2.2,,,,20.0,19.0,,,1.9,1.4,,19,,,,1.2,0.8,,330,300,,175,3,60,
14,2,5,,1,4.8,,,,,1,0,1,4,,,,,,,,,24.0,,,,,1,3.4,,,,,22.0,,,,2.2,,,16,,,,1.5,,,410,,,257,2,58,
15,2,6,,1,2.0,,,,,2,0,1,1.5,,,,,,,,,27.0,,,,,1,1.4,,,,,18.0,,,,0.9,,,13,,,,0.6,,,300,,,177,3,33,
16,2,7,,1,5.2,,,,,1,1,1,4.2,,,,,,,,,30.0,,,,,1,3.2,,,,,25.0,,,,2.3,,,18,,,,1.5,,,410,,,224,1,58,
17,2,8,,1,4.3,,,,,1,0,1,3.7,,,,,,,,,28.0,,,,,1,3,,,,,22.0,,,,1.9,,,17.5,,,,1.4,,,390,,,233,2,62,(Potential Branches For Cutting)
18,2,9,,3,4.5,2.5,2.0,,,1,0,3,4,2.1,1.5,,,,,,,26.0,,,,,3,3.1,1.5,1.2,,,23.0,22.0,19.0,,1.7,,,17.5,,,,1,,,375,,,187,1,61,(Potential Branches For Cutting)
19,3,1,,1,5.4,,,,,1,0,1,4.4,,,,,,,,,25.0,,,,,1,3,,,,,23.0,,,,2.1,,,18.5,,,,1.3,,,400,,,242,2,42,
20,3,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
21,3,3,,2,3.2,2.3,,,,1,0,2,2.5,1.9,,,,,,,,22.0,21.0,,,,2,1.9,1.2,,,,18.0,17.0,,,1,0.6,,13,,,,0.6,,,295,,,143,1,29,
22,3,4,,1,2.0,,,,,1,0,1,1.4,,,,,,,,,16.0,,,,,1,0.8,,,,,11.0,,,,0.4,,,8.5,,,,0.2,,,204,,,94,1,40,7 stems 2011
23,3,5,,2,4.4,2.6,,,,1,0,2,3.7,2.1,,,,,,,,23,20.0,,,,3,2.8,1.4,0.7,,,21.5,20.0,18.0,,1.9,0.8,0.7,17.5,,,,1.3,,,400,,,237,1,39,
24,3,6,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,"missing09, willow"
