Od,C,R,YrDied,Stems15,DBH151,DBH152,DBH143,RCW,Plus
1,1,1,,1,2.4,,,1,0
2,1,2,9,,,,,,
3,1,3,,1,6,,,1,0
4,1,4,,1,3.7,,,1,0
5,1,5,,1,4.6,,,2,0
6,1,6,9,,,,,,
7,1,7,,1,6.2,,,2,0
8,1,8,,1,5.1,,,1,0
9,1,9,,2,4.4,3.7,,1,0
10,2,1,,1,5.4,,,1,0
11,2,2,,1,6.1,,,1,0
12,2,3,9,,,,,,
13,2,4,,2,4.4,3.5,,1,0
14,2,5,,1,4.8,,,1,0
15,2,6,,1,2,,,2,0
16,2,7,,1,5.2,,,1,1
17,2,8,,1,4.3,,,1,0
18,2,9,,3,4.5,2.5,2,1,0
19,3,1,,1,5.4,,,1,0
20,3,2,9,,,,,,
21,3,3,,2,3.2,2.3,,1,0
22,3,4,,1,2,,,1,0
23,3,5,,2,4.4,2.6,,1,0
24,3,6,9,,,,,,
25,3,7,,1,4.8,,,1,0
26,3,8,,1,6.6,,,1,1
27,3,9,,1,6.4,,,1,0
28,4,1,,1,4.2,,,3,0
29,4,2,,1,2.6,,,2,0
30,4,3,,1,2.5,,,1,0
31,4,4,9,,,,,,
32,4,5,,1,4,,,1,0
33,4,6,,1,4.8,,,1,0
34,4,7,,1,3.2,,,1,0
35,4,8,,1,3,,,1,0
36,4,9,,1,4.3,,,1,0
37,5,1,10,,,,,,
38,5,2,9,,,,,,
39,5,3,,5,3.8,3.5,1.8,2,0
40,5,4,10,,,,,,0
41,5,5,,1,4.2,,,1,0
42,5,6,,1,5.9,,,1,1
43,5,7,,1,5.3,,,1,1
44,5,8,,1,4.9,,,3,0
45,5,9,,2,5.6,5,,1,0
46,6,1,,1,6,,,1,0
47,6,2,,1,3.6,,,1,0
48,6,3,,1,5.1,,,1,0
49,6,4,9,,,,,,
50,6,5,,1,5,,,1,0
51,6,6,,1,5.1,,,2,0
52,6,7,9,,,,,,
53,6,8,,3,4.2,2.7,1.7,1,0
54,6,9,,2,4.6,3.5,,1,0
55,7,1,,1,4.3,,,1,0
56,7,2,9,,,,,,
57,7,3,,1,0.9,,,1,0
58,7,4,,1,5.2,,,1,0
59,7,5,,2,3.7,1.4,,1,0
60,7,6,,3,4.2,3.3,1.7,1,0
61,7,7,,2,4.9,4.5,,3,0
62,7,8,,1,5.1,,,1,0
63,7,9,9,,,,,,
64,8,1,,2,2,1.8,,1,0
65,8,2,,1,1.4,,,3,0
66,8,3,,4,2.3,2.1,1.1,1,0
67,8,4,9,,,,,,
68,8,5,,3,4.7,4,1.4,1,0
69,8,6,,1,4.7,,,,0
70,8,7,,2,5.2,1.4,,1,0
71,8,8,,1,4.1,,,1,0
72,8,9,,2,4.8,1.8,,1,0
73,9,1,9,,,,,,
74,9,2,9,,,,,,
75,9,3,9,,,,,,
76,9,4,,1,0.8,,,1,0
77,9,5,,5,4.3,3.5,1.8,2,0
78,9,6,,1,4.9,,,1,0
79,9,7,,1,2.8,,,1,0
80,9,8,,1,6.1,,,1,1
81,9,9,,1,5,,,1,0
82,10,1,9,,,,,,
83,10,2,,1,2.6,,,1,0
84,10,3,,2,2.5,2.2,,1,0
85,10,4,,2,5.6,4.6,,1,0
86,10,5,,1,5.3,,,1,0
87,10,6,9,,,,,,
88,10,7,,1,4.5,,,1,0
89,10,8,9,,,,,,
90,10,9,,1,5.4,,,1,0
