Od,C,R,DBH151
1,1,1,2.4
2,1,2,0
3,1,3,6
4,1,4,3.7
5,1,5,4.6
6,1,6,0
7,1,7,6.2
8,1,8,5.1
9,1,9,4.4
10,2,1,5.4
11,2,2,6.1
12,2,3,0
13,2,4,4.4
14,2,5,4.8
15,2,6,2
16,2,7,5.2
17,2,8,4.3
18,2,9,4.5
19,3,1,5.4
20,3,2,0
21,3,3,3.2
22,3,4,2
23,3,5,4.4
24,3,6,0
25,3,7,4.8
26,3,8,6.6
27,3,9,6.4
28,4,1,4.2
29,4,2,2.6
30,4,3,2.5
31,4,4,0
32,4,5,4
33,4,6,4.8
34,4,7,3.2
35,4,8,3
36,4,9,4.3
37,5,1,0
38,5,2,0
39,5,3,3.8
40,5,4,0
41,5,5,4.2
42,5,6,5.9
43,5,7,5.3
44,5,8,4.9
45,5,9,5.6
46,6,1,6
47,6,2,3.6
48,6,3,5.1
49,6,4,0
50,6,5,5
51,6,6,5.1
52,6,7,0
53,6,8,4.2
54,6,9,4.6
55,7,1,4.3
56,7,2,0
57,7,3,0.9
58,7,4,5.2
59,7,5,3.7
60,7,6,4.2
61,7,7,4.9
62,7,8,5.1
63,7,9,0
64,8,1,2
65,8,2,1.4
66,8,3,2.3
67,8,4,0
68,8,5,4.7
69,8,6,4.7
70,8,7,5.2
71,8,8,4.1
72,8,9,4.8
73,9,1,0
74,9,2,0
75,9,3,0
76,9,4,0.8
77,9,5,4.3
78,9,6,4.9
79,9,7,2.8
80,9,8,6.1
81,9,9,5
82,10,1,0
83,10,2,2.6
84,10,3,2.5
85,10,4,5.6
86,10,5,5.3
87,10,6,0
88,10,7,4.5
89,10,8,0
90,10,9,5.4
