Col,Row,stems2015,Y7 MAI BA sfpa Blks,Y7 MAI BA sfpa DZ,"Yr7 MAI BA15
PA(sf)",Yr7 BA15 PA(sf),Yr7BA15AI,Y7 1DBH15 (in),Y7 2DBH5 (in),Y7 3DBH15 (in),"Root collar Weevil
 (1,2,3)",Plus Tree,Y6 MAI BA sfpa Blks,Y6 MAI BA sfpa DZ,"Yr6 MAI BA14
PA(sf)",Yr6 BA14 PA(sf),Yr6BA14AI,Yr6 1HT MAI,Y6 1DBH14 (in),Y6 2DBH14 (in),Y6 3DBH14 (in),Y6 1HT14 (ft),Y6 2HT14 (ft),Yr6 3HT14 (ft),Notes14,DC DBH,DC Ht,"Yr5 MAI BA13
PA(sf)",Yr5BA13AI,Yr5 BA13 PA(sf),Yr5 1HT MAI,Yr5 1DBH13 (in),Yr5 2DBH13 (in),Yr5 3DBH13 (in),Yr5 1HT13 (ft),Yr5 2HT13 (ft),Yr5 3HT13 (ft),"Yr4 MAI BA12
PA(sf)",Yr4BA12AI,Yr4 BA12 PA(sf),Yr4 1DBH12 (in),Yr4 2DBH12 (in),Yr4 3DBH12 (in),Yr4 1HT12 (ft),Yr4 2HT12 (ft),Yr4 3HT12 (ft),"Yr3 MAI BA11
PA(sf)",Yr3 BA11 PA(sf),Yr3 1DBH11 (in),Yr3 2DBH11 (in),Yr3 3DBH11 (in),Yr3 1Ht11 (ft) ,Yr3 2Ht11 (ft) ,Yr3 3Ht11 (ft),Yr2 Ht10 (ft)
1,1,1,11.6,11.6,11.6,81.5,35.0,4.9,,,2,0,7.7,7.7,7.7,46.5,17.9,4.0,3.7,,,24.0,,,,0.8,2,5.7,13.6,28.5,4.40,2.9,,,22.00,,,3.7,,15.0,2.1,,,18.3,,,1.9,5.7,1.3,,,13.0,,,8.9
1,2,1,1.2,1.2,1.2,8.7,-4.1,1.6,,,3,0,2.1,2.1,2.1,12.8,3.0,2.5,1.6,1.1,,15.0,15.0,,,0.1,0,2.0,4.1,9.8,3.0,1.5,0.8,,15.0,13.0,,1.4,,5.7,1.3,,,13.2,,,0.7,2.2,0.8,,,11.0,,,6.6
1,3,1,9.4,9.4,9.4,65.7,26.5,4.4,,,2,0,6.5,6.5,6.5,39.2,10.7,4.2,3.4,,,25.0,,,,0.5,5,5.7,9.0,28.5,4.0,2.9,,,20.0,,,4.9,,19.5,2.4,,,19.2,,,4.1,12.3,1.9,,,13.5,,,8.9
1,4,1,1.4,1.4,1.4,9.8,4.9,1.7,,,2,0,0.8,0.8,0.8,4.9,3.2,2.7,1.2,,,16.0,,,,0.5,3,0.3,0.0,1.7,2.6,0.7,,,13.0,,,0.4,,1.7,0.7,,,11.5,,,0.1,0.3,0.3,,,7.8,,,4.4
1,5,2,21.0,21.0,21.0,147.2,48.1,4.9,4.4,,1,0,16.5,16.5,16.5,99.1,47.6,4.7,4.2,3.4,,28.0,27.0,,,1.3,4,10.3,27.8,51.5,4.8,2.9,2.6,,24.0,23.0,,5.9,,23.7,2.1,1.6,,18.5,17.5,,3.3,10.0,1.4,1,,13.5,12.0,,8.2
1,6,1,8.2,8.2,8.2,57.1,26.5,4.1,,,1,0,5.1,5.1,5.1,30.5,12.6,4.2,3.0,,,25.0,,,,0.7,4,3.6,9.6,18.0,4.2,2.3,,,21.0,,,2.1,,8.3,1.4,0.7,,16.0,12.3,,1.4,4.2,1,0.5,,12.4,11.0,,6.9
1,7,1,8.6,8.6,8.6,59.9,15.9,4.2,,,1,0,7.3,7.3,7.3,44.0,21.0,4.2,3.6,,,25.0,,,,1,2,4.6,9.4,22.9,4.6,2.6,,,23.0,,,3.4,,13.6,2.0,,,18.3,,,1.6,4.9,1.2,,,13.0,,,8.3
1,8,1,13.1,13.1,13.1,91.8,54.8,5.2,,,1,0,6.2,6.2,6.2,37.0,14.0,4.2,3.3,,,25.0,,,,0.7,6,4.6,11.9,22.9,3.8,2.6,,,19.0,,,2.7,,11.0,1.8,,,15.0,,,1.9,5.7,1.3,,,12.5,,,8.4
1,9,,,0.0,0.0,0.0,0.0,,,,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,0.2,,0.8,0.5,,,8.0,,,0.1,0.3,0.3,,,7.0,,,5.0
2,1,2,20.5,20.5,20.5,143.7,48.2,4.7,4.5,,1,0,15.9,15.9,15.9,95.5,49.5,4.8,3.8,3.7,,29.0,29.0,,,1.1,5.5,9.2,22.6,46.0,4.7,2.7,2.5,,23.5,23.0,,5.8,,23.4,2.0,1.7,,17.5,16.8,,3.6,10.8,1.4,1.1,,13.5,12.0,,8.6
