Ord,Blk,Plot,Col,Row,Clone,1DBH15,2DBH15,3DBH15,Plus Tree 15,Root collar Weevil 15,Notes 2015,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,RCW14,Stems14,Status14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,1HT11,1HT10
1,1,1,1,1,68,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
2,1,1,1,2,68,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
3,2,2,1,3,76,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
4,2,2,1,4,76,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
5,3,3,1,5,71,5.1,,,0,1,4.7/5.6,4.2,,,28,,,0,1,1,3.1,,,21,,,1.7,,,14.5,8.9,4.1
6,3,3,1,6,71,4.7,3.8,,0,2,"4.4/5.0, 3.6/4.0",3.9,3.1,,28,28,,0,2,1,2.7,2,,21,20,,1.4,1,,14.5,6.9,2.7
7,4,4,1,7,72,4.0,,,0,3,,3.3,,,27,,,0,1,1,2.1,,,21,,,0.8,,,10.4,5.2,1.4
8,5,100,1,8,74,3.2,,,0,1,,2.3,,,21,,,0,1,1,1.2,,,19,,,0.2,,,6.8,3.0,2.5
9,1,61,1,9,NM6,4.1,,,0,1,,3,,,21,,,0,1,1,1.6,,,13.5,,,0.9,,,9.8,7.5,5.0
10,1,8,2,1,67,6.1,,,0,2,6.0/6.3,4.7,,,28,,,0,1,1,3.1,,,20.5,,,1.7,,,15,8.4,2.7
11,1,8,2,2,67,,,,0,,resprout,,,,,,,0,0,0,,,,,,,,,,3,,1.8
12,2,7,2,3,64,,,,0,,resprout,,,,,,,0,0,0,,,,,,,,,,,,
13,2,7,2,4,64,5.0,,,0,2,4.9/5.2,4,,,28,,,1,1,1,2.8,,,23,,,1.7,,,15,9.0,3.1
14,3,6,2,5,75,4.2,,,0,5,,3.8,,,29,,,1,1,1,2.6,,,23,,,1.6,,,14.5,8.0,3.1
15,3,6,2,6,75,4.7,,,0,3,4.6/4.8,3.9,,,28,,,1,1,1,2.7,,,20.5,,,1.4,,,12.5,7.0,2.7
16,4,5,2,7,63,3.3,,,0,1,,2.6,,,24,,,0,1,1,1.5,,,17,,,0.5,,,10,4.6,3.3
17,4,5,2,8,63,1.6,,,0,3,,1.2,,,18,,,0,1,1,0.6,,,10,,,0.1,,,6,2.9,1.5
18,1,61,2,9,NM6,3.6,,,0,1,3.3/3.7,3.3,,,21,,,0,1,1,2.2,,,15.5,,,1.4,,,11.8,9.2,6.0
19,1,9,3,1,74,5.3,,,0,1,5.2/5.4,4.1,,,25,,,0,1,1,2.8,,,18,,,1.3,,,12,7.2,1.9
20,1,9,3,2,74,3.5,3.0,,0,2,3.4/3.6,3.2,2.1,,26,,,0,2,1,2.2,1.3,,18,14,,1.1,,,12,6.6,2.0
